Column1,reviewId,content,topic_openai,topic_category,app
24,fc4b4317-f9de-42c3-9b5b-4a412cf11e27,"While all other apps are straightforward, Bunq makes it difficult, taking you through a roundabouts of double id verification that make no sense but let's you top up your account before the verification is done, just to lock your money without a chance of making a payment or transfer it back. Well done. While mobile banking ups are meant to be disruptive with their seamless user experience, Bunq isn't. Thanks for nothing. I've opened 2 accounts with your competitors since and still waiting",usability,quality_usability,Bunq
25,a6a7190a-824f-4561-b11f-0980b765b694,Design is unnecessarily busy.,clarity,user_centricity_support,Bunq
26,53bffba6-496e-4e60-ae17-2c402e15d819,they closed my account in retaliation of me speaking up publicly about being contacted over Wikipedia edits,accountability,trust_ethics,Bunq
27,16624d3d-4513-4bc5-ad5b-052bc2f31b60,"I keep running into errors setting up an account, and the support chat is not providing help needed. That and the fact that the monthly cost is expensive given I can't actually use the app properly",usability,quality_usability,Bunq
28,be04623b-23c0-44f5-af36-35b75671bc72,"This app is really interesting. After having been lied to and got a very bad experience with many banking apps, I finally found this app. Very good app and I strongly recommend it ??",trust,trust_ethics,Bunq
29,4ef2b61d-80cc-4fa2-98c4-9b7070e210b6,Terrible customer service. Exorbitant hidden charges for int'l transactions. Already expensive monthly subscription fees keep getting more expensive.,transparency,trust_ethics,Bunq
30,8d4ccaf1-3522-499c-afd3-0b76b7215a6c,"Slogan ""bank of the free"" is romantic but far from. They closed my account without haste after 8 years service for transfer to Crypto related exchange. It's not a bank of the free. It's a bank with puppet strings attached . Farewell ??",freedom,empowerment_control,Bunq
31,5ff3e2f5-e068-44ae-b6f2-a4821ee0e0f3,The only reason I even considered using their service was the virtual credit card. Everything else is a disaster  from the apps design to their so-called support. I submitted my info for identity verification last night and still havent been approved. Theres no real support either. Their 24/7 support is just an AI chatbot thats completely useless.,service,user_centricity_support,Bunq
32,0ce3f99f-6f5e-4707-a5d7-f9266cd5e238,I wanted to access a joint account so I had to register an account. Somehow this registration automatically assigned me to a 19 per month subscription with a separate personal IBAN and credit card. I feel cheated and I am very dissatisfied.,transparency,trust_ethics,Bunq
33,68a2d807-ba60-412d-9eaf-bdafd3deec8f,Card top ups that require 3DS verification do not work anymore. Unable to change my login password. Contacted support and they give zero care. They replied once and then the bot replied and then they stopped answering. What is going on? Are you shutting down your business? UPDATE 28/07/2024: A JOKE OF SERVICE. ACCOUNT CLOSED.,service,user_centricity_support,Bunq
34,19847483-fa6a-44f5-a28f-3b59dd8f4e0d,"Buggy account opening stating that it's connecting me to my local branch, and then nothing, I just get stuck on the address step.",functionality,quality_usability,Bunq
35,6617a0e2-23b2-45e9-9778-3b960e091147,Anything wrong then don't expect them to fix it. also if you turn on your physical card it doesn't tell you that they will charge you 9.99 for that. which is more then in you took the 3.99 plan which includes physical card. so you're paying 6 extra euros for less features and for the customer service to tell you you're an idiot,transparency,trust_ethics,Bunq
36,bf20ac43-e197-4c56-acf8-64e7146b8110,"Great but, since the update, iDeal is not working well with bunq. Are you aware of that? CD",functionality,quality_usability,Bunq
37,616db94a-321a-4b53-9444-48f3bedb2999,"I opened my business account, provided all required and asked information and documents. They activated the trial run but my business account is still not activated. I guess i am going to a real bank in anetherlands to open my business account, never trust fintech banking is you are in need of speed, reliability and easy. So much time wasted...",reliability,quality_usability,Bunq
38,57b82dac-4c0f-4149-8eab-1ce5952d5f50,"The app is well done, but there is absolutely no human to talk to even in an emergency, I had to report an unrecognized transaction and I was not possible, no phone no chat no email, this unfortunately make your account and money at risk. The below reply is false stamens as I have tried many times and even send multiple emails after weeks no one reply no chat or even an email.",support,user_centricity_support,Bunq
39,d81997b6-1658-4359-87ab-c61c74870212,"Straight up non existent human customer support. I contacted customer service and was greeted by an AI agent (not an issue on principle). When it became clear the AI could not help me and just gave vague generic replies I requested a human. I was told I would be contacted by one ASAP and given an indicative time. The time passed, I was not contacted. I reply to the AI asking for clarification and was replied to by a new Ai. Same replies, no human ever reached out. Chat still open months later",support,user_centricity_support,Bunq
40,222d8cca-5251-4e72-99ff-22bf5267e387,"Downloaded the app, filled in my incomplete details and they already charged me from the 1st month with me agreeing to nothing of the sort. Also, very limited access to stocks /crypto. Uninstalled.",accountability,trust_ethics,Bunq
41,d75b3295-12af-4e52-ac99-5a93852a06f8,Pathetic customer service. Avoid!,service,user_centricity_support,Bunq
42,4a4784a2-3d14-4b05-a780-71625534eda6,Switched from Revolut to Bunq for the features. Big mistake. Feature rich but VERY buggy and confusing app and expensive monthy and transaction costs but most of all their support is unimaginably awful. They wil just repeat the same thing to you over and over while patronising you with ???? emojis. They don't care about any issue you have they just want to close the ticket asap and if you talk to them too much they block your access to support. This bank literally made my life hell for 3 months.,support,user_centricity_support,Bunq
43,ada8b62c-acc6-4ecf-9fce-5e9deab64c65,Bad experience I can not open,accessibility,quality_usability,Bunq
44,61b70e44-49ab-4815-94df-2413c243d247,"After 5 years using this app, i can say that this app for me is one of the best banking apps. User-friendly, flexibilty and security are 3 more important features of this software .",security,trust_ethics,Bunq
45,2322f4a5-880c-48fc-9e5c-10602a300957,A lot of bugs.,quality,quality_usability,Bunq
46,db0487c1-d5a5-44b6-8683-92c3eac1e261,"Horrible experience with the website and app. I just created an account, but for some reason, when I try to login it request me some personal info to complete de account, like name, address and that, so I filled all the info and press next, but suddenly it shows that this account is already in use, and tell me to go to login again... It is like a loop, and I try it again. And when I try it again, I put all the info, and press next, and it will show the same message again. Never ends...Cant use.",usability,quality_usability,Bunq
47,c6ad2fe7-648a-4603-835d-0e134be34ab1,"I've now been told that despite the app alerting me to this wheel of fortune, and despite it saying I have 6 trees, actually I don't qualify because I don't have the right type of account. Never mind the fact I have thousand of Euro's in savings here. The bank is fine, but the app is trash. I'm seriously considering leaving Bunq because of this",clarity,user_centricity_support,Bunq
48,a391645b-849b-491e-9504-93a1447198e5,Singning up process complicated and take forever. After month I cancel the whole thing. Very bad....,usability,quality_usability,Bunq
49,68532f54-125c-4e43-853b-195e032f9a40,BRILLIANT exceptional experience in beautiful country and people,experience,user_centricity_support,Bunq
50,734ac375-8131-4b2c-8d90-44089bb85825,Way too complicated. Please close my account because that is far too complicated too!!!,simple,quality_usability,Bunq
51,2e17ce6b-e4ec-418e-8779-cefca84a5228,It's just awesome to me ????. Greetings from Greater Paris France ????,global,community_belonging,Bunq
52,fa53eb30-e597-40fd-bb55-0618c4775cce,"Loops to ask for selfie in login page itself, how am I supposed to even use it??",usability,quality_usability,Bunq
53,0864e623-4d73-472a-9364-c5b935539031,Nice bank,service,user_centricity_support,Bunq
54,a541de7f-49d8-4af2-9d1a-ccbcc2c9f866,charged me for no reason,accountability,trust_ethics,Bunq
55,1c9412d0-852f-4804-849e-c0ee5cd6be53,bunq doesn't accept residents from Oklahoma,accessibility,quality_usability,Bunq
56,b62dc1e8-b6e8-4930-8fbe-c9e2ce040b06,"Basically, the idea is to have different account banks is pretty good in one App as well as the design and the structure are really beautiful.",functionality,quality_usability,Bunq
57,68075de8-ed2b-4865-ba83-9f5afa3f38c4,"very poor, not user friendly, just gave up, more like a scam",trust,trust_ethics,Bunq
58,d698537c-839f-4bd8-acc3-77e41533eed7,network error every 20 seconds....,reliability,quality_usability,Bunq
59,10292ca9-5954-4d49-916d-676618a157b4,Used to be good. Now more and more cheap gimmicks like spin the wheel where I never win,quality,quality_usability,Bunq
60,a9f043c2-762d-455a-b99d-e6c79d26fdd2,"Doesn't offer many premium services if you live in outside of The Netherlands, but still wants full price. Doesn't tell you until AFTER you finish handing over all your information. Even worse, after I ditched Bunq as soon as I found out. 6 months later (and on freaking Christmas!) they emailed me that they put me on some free plan and then want my information again. What? We're history Bunq. You bait and switched me about as bad as you can. Shady fintec practices.",transparency,trust_ethics,Bunq
61,415915eb-dd54-4d44-b1d0-1032b83e207b,what ever you do do not get anyone to send you money using this app. 2 transaction and it's 2 months later and they refuse to release my money for 2 items I sold 1 item for 70 1 item for 50 I know it's only 120 euro but it's amazing how they can keep my money and get away with it.,trust,trust_ethics,Bunq
62,d30410fe-f22b-4251-8880-42aea01a9063,New note: I am happy court did justice for you. Pay penalty to learn Karma ?? _________&&&&&& Last note for 2020 I opened an account in this bank. For two mouth it was great. One day without any notice they banned my account. I live in Netherlands but I have iranian nationally. They told they decided to close my account for the policies. Crazy team. Fool supporters. I asked them number to call but they told they don't have number. Just chat is possible.,compliance,trust_ethics,Bunq
63,685dd700-0c29-44c4-b4cb-c6654344b0cd,There seems to be an error on their server side i tried to make an account with my phone number and email and i got an error when i retried to finish the setup i kept geting error this phone number is used but when i try to login with it it keeps going in a loop and nothing works i cant even contact support,usability,quality_usability,Bunq
64,0b8434b0-3ec0-4b31-95e3-0cf4e328f8b4,Good,quality,quality_usability,Bunq
65,beea2298-75e2-4800-8e36-288767626172,"Unfortunate they dont give my own transfered money back, after closing my without any rules behind that. That is poor.",trust,trust_ethics,Bunq
66,36a36617-b97a-44ab-85dc-986b3a666625,Don't support the guy'sss ??,support,user_centricity_support,Bunq
67,eae22cf6-f705-45ad-a57f-713f7734dc45,"The app is fine, I like it especially the way i can choose only my interests like bank account and credit card.i will use it",choice,empowerment_control,Bunq
68,9bc7c60a-1d89-4449-bcab-0f4b9a8b4672,support is a nightmare,support,user_centricity_support,Bunq
69,bbf5cea3-5aa3-4c69-bf19-186ef495d327,Very good bank I'm very happy to have this bank!!! Workers very good organised!!,service,user_centricity_support,Bunq
70,68bb42b7-1fc5-4e03-8a29-2e0853ca10ed,"Long life!, the founder of this Digital Bank. Great job, Bro!",digital,innovation_technology,Bunq
71,d087a30c-4e05-4c06-96d4-8ac6cd47c969,Great app with excellent features. Very easy to use,easy,quality_usability,Bunq
72,ca5e8ccd-8fca-4fee-aa5a-e3d6e1be3896,Absolute rubbish always updating changing settings not teust worthy also spin the wheel has changed rubbish appp,reliability,quality_usability,Bunq
73,bb1bfddb-815a-4877-85cf-43bb5745c27c,"More that 1 week I can't access to may acount and no concret solution to fix this, very frustrating customer support... no one like REVOLUT. Incompetent customers service! More that 10 days in permanent contact and can't solve the loop in the logging process ... I can't believed...",accessibility,quality_usability,Bunq
74,e5b9a63e-7fdf-47f2-91d5-f4b935c811f3,Good app after several updates. Bank offers all I need.,functionality,quality_usability,Bunq
75,c2c34ab8-2f33-4ca4-b1ab-982909bf54e8,The bank of the embarrassment and the awkward situations. I needed a medical delivery from Amazon and the credit card just doesn't work. The debit card failed many times in the Amsterdam Central Station toilet. This bank and this app are an insult for their customers. I do recommend people to stay far from it.,reliability,quality_usability,Bunq
76,829ef650-b294-4093-bda0-3c8f4dce70ab,Good afternoon,,,Bunq
77,5f2d8d31-3925-4ff6-b42a-27ff3cb5d876,the best app so far????????,experience,user_centricity_support,Bunq
78,8b62fdfc-cce3-4d4f-add2-dafb86f1dac1,"The new wheel if fortune is just downright depressive, it takes a lot of time, it acts unrealistic, it can reach negative numbers and you can't just hide it and forget about its existence (it's certainly possible that I might leave bunq because of that). EDIT: it's buggy and it seems like there might bei users who use unfixed exploits, it's terrible for people with gambling addiction... I could go on and on.",experience,user_centricity_support,Bunq
79,9553ae62-628f-4f4a-ad88-79ebaebd3399,Slechtste banken app van Nederland. Zeer niet aanbevolen.,usability,quality_usability,Bunq
80,2e4942ae-c11c-4980-8d84-7764bc368a28,"AVOID AT ALL COSTS. They withheld 25000 wire transfer without any notice and no possible way to get any support. This used to be the best bank I've ever used, over the years it turned into the absolute worst! If you want your money, keep it elsewhere. Also note that they will respond to this review telling me to email support, which doesn't exist!",trust,trust_ethics,Bunq
81,c4cdd5f3-2e12-4f56-8114-81d20b5d8059,it can't log me in because it says it doesn't support my region you should update your app and all region,accessibility,quality_usability,Bunq
82,61a4af3d-ea5e-41a9-aac1-78f100d06319,"Not sure why this is allowed. I am a new user and get bunq Elite free trial for 30 days for some unknown reason. It seems like this subscription will continue after 30 days, charging me 18.99 per month. I never signed up for this. This is unexpected to me, and unfortunately I cannot put my trust in such a bank. Good thing I saw the email with all the information on time and could cancel this expensive automatic subscription. Going to use Trade Republic instead now.",trust,trust_ethics,Bunq
83,1358a7bd-ec6b-49ec-9f96-247abb95b7c8,Satisfactory,quality,quality_usability,Bunq
84,f1a8893d-3767-4dd7-af07-41f6015a504b,"Well, don't set up a 'reward' system if you can't afford to have people actually win rewards. You kept on reducing the likelihood of a win on the wheel of fortune to the point where it was obvious that you simply didn't want people to win anymore. So do the math ahead of time and then design an honest, sustainable game around it.",sustainable,trust_ethics,Bunq
85,9c7bc3e5-72e6-458d-b273-717a544f7e81,"App is prima, maar het Bunq rad van fortuin is natuurlijk te hacken (gezien de perfecte scores) en dat gebeurt dan ook. Zou het zelf gewoon terugdraaien naar jullie random generator. Update naar 1 ster. Wordt nog steeds misbruik van jullie rad van fortuin gemaakt.",security,trust_ethics,Bunq
86,f2c6266c-2623-41a3-a9dd-c1e8157b1433,Amazing l like it,enjoy,user_centricity_support,Bunq
87,1b5636c3-3446-43a1-b6e9-4279758d57d4,That's,,,Bunq
88,33fe957d-884e-4343-9a2c-934490d046c6,Account restricted twice within two weeks for safety reasons. If I can't use this account properly why should I stay here and use this garbage? I won't allow anyone taking my money hostage for no reason. First I was really surprised how smooth everything worked but then with these restrictions I'll leave after 2 weeks now...,security,trust_ethics,Bunq
89,f086f9d9-1de3-4c4f-adf9-a9de1dcd4f1e,"I am so happy that I decided to use bunq, So easy to use and make international payments",easy,quality_usability,Bunq
90,d22185f6-8f88-42b8-9388-4b8d2fcce046,prima dankjewel,quality,quality_usability,Bunq
91,e1c12d51-c348-4a8e-85ed-87f30cd0c971,"Unfortunately, it does not support Arab nationalities, especially in the identity verification process.",accessibility,quality_usability,Bunq
92,d1ef6cb5-875f-4625-81c8-3e478f07705a,"It used to be okay, but with fake security features (holding transactions for 24 hrs just for fun) and employees who freely look at accounts, this bank can not be trusted any more.",trust,trust_ethics,Bunq
93,e3fc8769-e369-40e7-8c04-513fa20f8b6a,Has the same quality as their morals. Absolute garbage to say the least.,quality,quality_usability,Bunq
94,82371be2-c3d8-49af-afb0-ab44f92f7507,"bunq- bank of the free World app by Bank of bunq is truly accessible and user-friendly. Kudos to Bank of Baroda for their commitment to inclusivity, especially for visually impaired users. The app's design and support make banking a seamless and positive experience for all.",accessibility,quality_usability,Bunq
95,fa7dedf5-bf7f-495c-9c93-6b2954c2c914,The look of the App is great. The advice works well when needed. I like the fact that it's less formal than standard banking & the terminology & language you use is just really friendly.,usability,quality_usability,Bunq
96,c80af60f-de90-4168-b232-ca523ec3c10a,I have made a wrong payment they pishing me I tryed to block the payment but there is no way to interact immediately with the assistant,accessibility,quality_usability,Bunq
97,2c0c986d-0d62-4ef1-afc0-9b29546bf7b1,been a very good experience. I love the company. very helpful,experience,user_centricity_support,Bunq
98,bdbeae84-5018-4f9d-affd-87df5781bd00,Update : wow the answer you give is just a plain lie. There is no support by humans. Even if I want it the Ai says I'll get support within 30 min but that's not true. I've been waiting for 2 weeks now and still Ai is the only available. If you send a complaint via mail it's also AI answering it. That's now how customer service works. Also you do as if the AI service are real humans by giving a different name to the dame AI model each day. I'm seriously getting sick of being lied to.,support,user_centricity_support,Bunq
99,343cfa95-9870-4fc9-8267-3d4664040272,Good,quality,quality_usability,Bunq
100,f27bb541-57b8-4bc0-b4a7-b3201257fc03,"I absolutely love the app and the bank in general. I would however really like to see the ""easy budgeting"" feature to work for every payment, even automated ones. So that subscription such as all the ones coming from Google Play are taken from the power accounts. Since ""easy budgeting"" for now only work for payments made with your physical card, it's actually more disorientating than helpful since half your monthly payments are taken from your main account while others are taken from your subs.",automation,innovation_technology,Bunq
101,0d44cb69-5b8c-4780-914a-af27efae44bd,5exelent,quality,quality_usability,Bunq
102,300ab759-c78a-4c39-88f0-26789af61e65,Don't use,experience,user_centricity_support,Bunq
103,7a8659b4-c288-4453-98f2-3c9d94029241,They resolved my problems,service,user_centricity_support,Bunq
104,c8faacde-5e6a-4ced-a449-b2435d80fa79,Very bad up You guys block me I did not receive my money again Before you block someone Return my money fast and then continue blocking Very bad app and I will never forgive you guys,trust,trust_ethics,Bunq
105,721ee625-6eb6-4aab-bca4-c747cba93da9,"Easy to handle, possible to have several bank accounts for different purposes. Immediate option to share each spending with others makes it so easy to use. Also love the trees that we can plant, eco-friendliness is fun and I love protecting our planet. Appreciate the cooperation with Cardano.",easy,quality_usability,Bunq
106,eedcbf1e-dcad-44d3-991f-43c9e57a415c,"Joke bank. Massive security issues and can't even get a spinning game right, which people have learnt how to abuse. Moving to ABN amro soon",security,trust_ethics,Bunq
107,6309d5e8-7958-4121-bb09-63cc1055f6d7,"Verification process crashes. Constantly getting ""Server problem""",reliability,quality_usability,Bunq
108,68a8aaea-6f31-4aa4-a12d-ee366c93f44a,abysmal security,security,trust_ethics,Bunq
109,5e148f37-bfff-4c59-a83f-507ea90a84a6,"We spent about 15 minutes on online verification. I submitted all the documents they asked for, and everything was perfect. However, in the middle of the call, the person abruptly left the call. Upon checking the app, I found my identity unverified, with no explanation provided.",accountability,trust_ethics,Bunq
110,229a8d79-4734-47cc-b650-670a35940515,Great improvement over years,progress,growth_ambition,Bunq
111,2b272584-22f9-4571-bc20-eec040efe633,It is a good app,experience,user_centricity_support,Bunq
112,47977a44-a3e7-493c-9761-a1b7eb576380,"I will say a few words about this app, very good and convenient. Convenient and comfortable control, many functions.",functionality,quality_usability,Bunq
113,f61e3d0a-d030-4e00-bbcd-e6f93583e3f1,Nothing less thsn excellent,quality,quality_usability,Bunq
114,39edf429-06f3-47f7-afac-0ad3fe707cb4,they blocked my account without saying to me nothing,transparency,trust_ethics,Bunq
115,8cc17a37-2bf5-42b0-9373-0b54358c7290,"Where should I start? Neo bank just sucks, especially the approach of Bunq. Terrible customer service. Everything subscription nowadays. Nope. Thank you.",service,user_centricity_support,Bunq
116,8cbb6e1e-615f-493b-a8ad-72413fb93b4d,worse support you can ever get. I got my card charged unauthorized. next thing they ask you to block the card. before you can even report it or ask refund. then they block all your account and refuse to open them. asking me for a screenshot of my security page information. which I refuse they have no right seeing my security information. I changed it all just to leak and show them. they can use a phone make pictures of it. saying the chat in bunq is secure. yeah and u use a fake name as support.,security,trust_ethics,Bunq
117,19fe06df-d945-43e7-8830-e35ed29adbaa,I can't even get on to it ? Trying to set up an account & it not allowing it when I enter my mobile it says something about country origin code but no where to confirm uk ?,accessibility,quality_usability,Bunq
118,a2100ef9-a792-48d1-97f2-ab1795fdb156,Not up date,,,Bunq
119,13d73291-f538-4b97-a3a0-1a17c610d881,Not available for iraq,accessibility,quality_usability,Bunq
120,fea3b16d-48b4-41c8-98a3-c74e137a6b7b,Nice and fast! I hope i can apply my card in google wallet.... But i dont like the ID verify so plsss remove,security,trust_ethics,Bunq
121,6ecf7161-913a-4776-8def-829d206c476b,How long do I have to wait until someone helps me? It's been almost 2 years now. .,support,user_centricity_support,Bunq
122,fa2e27a8-ea59-4c1e-ad97-d295dc756bdf,Last night link payment working today it's not working support is not supportive,support,user_centricity_support,Bunq
123,f3052945-4500-448b-8acf-85d4313111b1,"Great bank, thanks",service,user_centricity_support,Bunq
124,5b2f98f3-f749-4f55-bc95-a991271dfdd7,"after waiting for a day, I was unable to pay with my credit card",accessibility,quality_usability,Bunq
125,8bc329f0-3ee4-4d50-ade1-0d6e0ba7003c,Excellant service The Best service thank you,service,user_centricity_support,Bunq
126,a1eb2a20-cb30-4b20-9dd4-7cdcf1da219e,I am going to quit this casino.,choice,empowerment_control,Bunq
127,77292afb-4230-4fda-aa41-e141995e72d5,Good,quality,quality_usability,Bunq
128,5e26a192-b38a-4057-8738-127db3c86aee,Most confusing bank ever. Hate the ui flow. Just for few % more don't move from ing/ abn/ rabo to this bank. Just bunk it,usability,quality_usability,Bunq
129,1e9fee12-ad20-4982-90b9-03e6b26832a8,"No more easy travel plan, no free plan with card??",affordable,quality_usability,Bunq
130,1b7dece6-c6ad-42f8-97fd-ea639a73377d,Easy to use and navigation around the app is simple,usability,quality_usability,Bunq
131,001e1f03-fed9-4502-b93d-3a228bffc82d,"I been using this account for 8 month it's ok ,just the fact that the customer support keeps sending me warning email that they close my account because I use it for gamble and crypto,but I newer did! They don't send proof just random messages,I think I will close this account and move to a more serious bank.",trust,trust_ethics,Bunq
132,f6685a94-0632-4c08-9922-8134895807c0,"Update: support team was super helpful and I received my fund back in one day. ------------------------------------- Older comment: I opend the basic (free account), it was supposed to be free but now I got an email that my free trial has ended and they charged me 18 Euros! What for?? It was a free version account! How come the subscription charges??",support,user_centricity_support,Bunq
133,8e94a970-453d-48c9-9c09-495acefac2cd,"All fun untill you got the end of the month and you see that the interest rate is by year. So when they say 2.55% in the first 4 months, what they mean is 0.2125% per month in the first 4 months and then lower after that, but that doesn't sound so good, so they keep this information hidden.",transparency,trust_ethics,Bunq
134,c9b81d22-3024-46bb-9e51-0951e3d168fb,This is probably the worst online bank. Verify process is a total joke and when it's finally done it keeps saying no internet. Online bank with no Internet is a very nice combo. There is no lower than 1 star but I would give -1000.,reliability,quality_usability,Bunq
135,dc48c316-307a-4061-b55f-a4513fcca7ef,"Awesome In fact,Everything is just amazing of Bunq",experience,user_centricity_support,Bunq
136,b8edb7a0-73a9-4e37-8eec-a9a7eee5d37b,"Absolutely the worst customer support that i have ever experienced. they start off with an automated bot response, which then replies with another chatGPT response. when you ask to be connected to a human agent, you just receive more bot responses. no human contact at all. edit: The bunq response on my review even contains AI generated text. i have received responses from 5 different agents, all of them bots, not a single human support agent as promised by bunq",support,user_centricity_support,Bunq
137,86f6cc9f-f877-449c-b0e2-9f8ffde749aa,Flawed copycat,innovation,innovation_technology,Bunq
138,e36cbc8f-1472-4aaa-9020-e820b4a8be3a,"Great for the first year, then the AI bot wants to pry into incredible detail on your income. It will reject PDF statements direct from your bank. Support is AI again and will absolutely not hand off to a human. But will list about twenty things that might be wrong with your statement for you to play guess the problem. Expect to spend a day trying to resolve it before concluding other online banks offer more human service while being a lot less invasive in complying with the same legislation.",ai,innovation_technology,Bunq
139,7a63e59c-8159-49f1-bd03-b0536e93b3b6,The bank provides no actual support for customers anymore. I decided to opt out after 3 years of being a happy customer. It's unacceptable.,support,user_centricity_support,Bunq
140,b8f85ee9-b424-4e0c-8f44-ae02e5c72509,This app and its bot on Telegram stole my 100 Tethers. These are thieves and they are not held accountable and they do not register my phone under the pretext of sanctions against Iran and they have no place or phone to answer.Don't be fooled.,accountability,trust_ethics,Bunq
141,50587e99-ad82-48ff-829f-3b40fc0aafc7,Oveall it was a good experience but the app crashes quite often. I guess my mobile is old and bunq has limited support for old android versions,support,user_centricity_support,Bunq
142,e46cc8d7-f2af-4a5e-bbba-a1e6888eef35,"The innovative banking app Bunq has completely changed the way I handle money. Because of its svelte form and intuitive UI, managing The lack of any additional fees and the transparency of fees are what distinguish Bunq. The in-app customer service is excellent and quick to respond. Strongly advised as a fantastic method to cut costs",transparency,trust_ethics,Bunq
143,785e8a3b-66b5-4e67-bfa4-83629471cbd1,"Great bank, easy to use.",easy,quality_usability,Bunq
144,1a274cfd-f472-4d2b-b20c-09b2a749d0e5,"It works but this app is always so full of bugs and breaking changes in flows I'm starting to wonder if I should trust this bank for all my day-to-day business. Also customer support is terrible, there is no way to get someone on the phone.",trust,trust_ethics,Bunq
145,c77b4639-61bf-4025-a7d6-d3b6604a0766,"Bunq has some good features. It's a shame the app is counterintuitive in a lot of ways. Getting support is a pain. Too much attention goes to upselling and greenwashing. If you are looking to setup your first neobanking account, you may want to look at competitors.",usability,quality_usability,Bunq
146,43eab91f-9855-4723-883f-784737c6918e,Nothing works. The app freezes all the time.,reliability,quality_usability,Bunq
