Column1;reviewId;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;appVersion;app;content_tockens;content_cleaned;openai_topic;topic_category
228;5e9d483c-86c3-4c18-a413-2ac456d79d35;States and easy 2 minute transition from Stocard to Klarna, gets to a page and states it will automatically redirect. Doesn't. click link to redirect and nothing. I've been trying for nearly and hour and no success. Now I've lost all of my cards.;1;0;2527286;14/07/2025 06:22;"Thank you for your review Janelle. Stocard officially cased operation on 30th June 2025. As part of the shutdown all consumer data has been deleted. To mange your loyalty card, we encourage you to install the Klarna App. You can either add your loyalty cards in the wallet tab by using the barcode scanner or entering the card details manually.
";14/07/2025 06:39;2527286;Klarna;['states', 'easy', '2', 'minute', 'transition', 'stocard', 'klarna', 'gets', 'page', 'states', 'automatically', 'redirect', 'doesnt', 'click', 'link', 'redirect', 'nothing', 'ive', 'trying', 'nearly', 'hour', 'success', 'ive', 'lost', 'cards'];states and easy 2 minute transition from stocard to klarna gets to a page and states it will automatically redirect doesnt click link to redirect and nothing ive been trying for nearly and hour and no success now ive lost all of my cards;reliability;quality
915;841bf1cc-6bfe-4d66-89ed-247630b95241;Major bugs. Either crashes or fails to open when needed. I had STO card for years with no issues before they replaced it with this faulty app.;1;1;2523145;10/06/2025 01:22;Thanks for the review, Victoria. We're sorry to hear this. We kindly suggest reinstalling the App and restarting your phone. If the problem persists then please don't hesitate in reaching out to us either via our in-App chat or by logging in at https://www.klarna.com/international/customer-service/ so that we can investigate this further.;10/06/2025 01:41;2523145;Klarna;['major', 'bugs', 'either', 'crashes', 'fails', 'open', 'needed', 'sto', 'card', 'years', 'issues', 'replaced', 'faulty', 'app'];major bugs either crashes or fails to open when needed i had sto card for years with no issues before they replaced it with this faulty app;reliability;quality
794;5ca31488-0fc4-474d-af4c-f841ab2464cf;Was happily using Stocard for years, until one day I tried to access a card and was told I needed to create an account and download a new app. This app sucks. Stocard was basic and quick, this app is garbage.;1;0;2523145;15/06/2025 20:26;Hi there, to ensure the security of your Klarna account and to prevent the loss of your loyalty cards, you need to create an account using your phone number and email address. For the migration of Stocard to Klarna, this verification is a necessary step.;15/06/2025 20:38;2523145;Klarna;['happily', 'using', 'stocard', 'years', 'one', 'day', 'tried', 'access', 'card', 'told', 'needed', 'create', 'account', 'download', 'new', 'app', 'app', 'sucks', 'stocard', 'basic', 'quick', 'app', 'garbage'];was happily using stocard for years until one day i tried to access a card and was told i needed to create an account and download a new app this app sucks stocard was basic and quick this app is garbage;simplicity;simplicity
3021;e89f8305-4af9-4e77-abe2-95ae3d4984c9;The app is very disappointing. My attempts to transfer my securities into the Trade Republic Account keeps falling, but there is no option to contact customer support. On their website, they do not provide any phone number or email for general customer queries. The only support option is the in-app chat, and there you cannot initiate a new chat on your own. The Help Center articles do not provide sufficient information to solve problems. It seems they have stopped caring for the customers.;1;4;425290;19/07/2025 17:09;;;425290;TradeRepublic;['app', 'disappointing', 'attempts', 'transfer', 'securities', 'trade', 'republic', 'account', 'keeps', 'falling', 'option', 'contact', 'customer', 'support', 'website', 'provide', 'phone', 'number', 'email', 'general', 'customer', 'queries', 'support', 'option', 'inapp', 'chat', 'initiate', 'new', 'chat', 'help', 'center', 'articles', 'provide', 'sufficient', 'information', 'solve', 'problems', 'seems', 'stopped', 'caring', 'customers'];the app is very disappointing my attempts to transfer my securities into the trade republic account keeps falling but there is no option to contact customer support on their website they do not provide any phone number or email for general customer queries the only support option is the inapp chat and there you cannot initiate a new chat on your own the help center articles do not provide sufficient information to solve problems it seems they have stopped caring for the customers;customer service;user_centricity
3543;408f39ed-689b-40de-b247-f133899d6f82;This app is useless. I deposit my account immadiately. They confirmed money after two days. This app seems a scam, every time i want to buy something, force me to reset PIN.;1;1;225050;31/01/2025 18:59;;;225050;TradeRepublic;['app', 'useless', 'deposit', 'account', 'immadiately', 'confirmed', 'money', 'two', 'days', 'app', 'seems', 'scam', 'every', 'time', 'want', 'buy', 'something', 'force', 'reset', 'pin'];this app is useless i deposit my account immadiately they confirmed money after two days this app seems a scam every time i want to buy something force me to reset pin;trust;ethos
1073;5f0491ef-a825-4607-9a4d-77eb94599fb2;the only reason why I'm not giving it 5 stars is because I cannot personalize the app a little more and some features that are paid here are free on other bank apps. Other than this, love the bank and the app ????;4;0;429;01/07/2025 19:11;Hey Natalia, thanks for your feedback! We'd be happy to know what you'd like to personalize and which features you'd like to have. You can send your suggestions directly from the app by tapping on your initials in the top right corner of Home - Useful actions - Share your ideas. Best, Bella, N26 Team.;03/07/2025 09:44;429;N26;['reason', 'im', 'giving', '5', 'stars', 'personalize', 'app', 'little', 'features', 'paid', 'free', 'bank', 'apps', 'love', 'bank', 'app'];the only reason why im not giving it 5 stars is because i cannot personalize the app a little more and some features that are paid here are free on other bank apps other than this love the bank and the app;personalization;user_centricity
3351;8e149f4e-c472-4442-80af-1bb32cef599c;Terrible nonexistent customer service, using the trade republic card has caused my Amazon account to be suspended requiring me to send a card statement with my address from trade republic that isn't available on the app. After writing an email and registering the issue on the app I have got no response meaning my Amazon account will be removed in the next ~48 hours with no sign of support from trade republic;1;2;225140;09/04/2025 13:22;;;225140;TradeRepublic;['terrible', 'nonexistent', 'customer', 'service', 'using', 'trade', 'republic', 'card', 'caused', 'amazon', 'account', 'suspended', 'requiring', 'send', 'card', 'statement', 'address', 'trade', 'republic', 'isnt', 'available', 'app', 'writing', 'email', 'registering', 'issue', 'app', 'got', 'response', 'meaning', 'amazon', 'account', 'removed', 'next', '48', 'hours', 'sign', 'support', 'trade', 'republic'];terrible nonexistent customer service using the trade republic card has caused my amazon account to be suspended requiring me to send a card statement with my address from trade republic that isnt available on the app after writing an email and registering the issue on the app i have got no response meaning my amazon account will be removed in the next 48 hours with no sign of support from trade republic;customer service;user_centricity
1744;f85feebf-4ebe-40f5-aa79-f0c80682eca5;Customer support is very incompetent, providing conflicting and often vague answers that fail to address specific issues.;1;0;49;29/09/2024 06:27;Hey, we are sorry to hear that you had a bad experience. If you still have questions, or need further support, you can reach out to us in one of our social media channels. We're available on Twitter (X) or Instagram via @N26 and on the N26 (DE, AT, CH), N26IT, N26FR or N26ES Facebook Pages. Best, Bella, N26 Team.;24/10/2024 10:19;49;N26;['customer', 'support', 'incompetent', 'providing', 'conflicting', 'often', 'vague', 'answers', 'fail', 'address', 'specific', 'issues'];customer support is very incompetent providing conflicting and often vague answers that fail to address specific issues;customer service;user_centricity
1084;05eed01f-5afd-41bd-b185-32c3f2d7bb31;useless, it is not possible to add a card to the Google Wallet app on the Google Pixel Smart Watches. Reply from the support: in the EU, Google Wallet support for watches is disabled due to security reasons(it worked in 2024). only apple watches are supported. okay n26 thinks that official Google Pixel devices are insecure.;1;3;428;25/06/2025 18:46;Hello Sergei. Thank you for your review. The availability of this feature depends on your country. Please feel free to contact us with a support chat to check your account and provide you with further details. To open a support chat, just tap your initials at the top of the Home page> More Actions> Support center. Best, Leon - Your N26 Support Team;25/06/2025 18:23;428;N26;['useless', 'possible', 'add', 'card', 'google', 'wallet', 'app', 'google', 'pixel', 'smart', 'watches', 'reply', 'support', 'eu', 'google', 'wallet', 'support', 'watches', 'disabled', 'due', 'security', 'reasonsit', 'worked', '2024', 'apple', 'watches', 'supported', 'okay', 'n26', 'thinks', 'official', 'google', 'pixel', 'devices', 'insecure'];useless it is not possible to add a card to the google wallet app on the google pixel smart watches reply from the support in the eu google wallet support for watches is disabled due to security reasonsit worked in 2024 only apple watches are supported okay n26 thinks that official google pixel devices are insecure;security;
926;6b578d82-4a04-429f-9b2a-9a48cdc0b712;awful app, steals your data then it blocks asking you for mysterious codes when you open it for use, full of advertising. awful;1;0;;09/06/2025 16:52;"Thank you for sharing your feedback with us. We understand that the transition from Stocard to the Klarna app may not have met your expectations, and we sincerely apologize for any inconvenience this has caused.
";09/06/2025 17:02;;Klarna;['awful', 'app', 'steals', 'data', 'blocks', 'asking', 'mysterious', 'codes', 'open', 'use', 'full', 'advertising', 'awful'];awful app steals your data then it blocks asking you for mysterious codes when you open it for use full of advertising awful;trust;ethos
3049;19ce6ad4-70d0-4a37-ad1a-40336f44c51b;wth.. enable scrolling windows in the chart and finally please add 3months time selection as well.. thats ridiculous;3;0;425280;10/07/2025 09:36;;;425280;TradeRepublic;['wth', 'enable', 'scrolling', 'windows', 'chart', 'finally', 'please', 'add', '3months', 'time', 'selection', 'well', 'thats', 'ridiculous'];wth enable scrolling windows in the chart and finally please add 3months time selection as well thats ridiculous;usability;
1117;d2c5df84-281c-49fe-beb9-320aebedc718;ok until you need customer service. useless. my old phone died. i got a new one. and it began.... pairing, unpairing, a thousand of codes, no clear instructions. no help from customer service chat. managed to figure it out myself finally.;1;0;427;13/06/2025 21:19;"Hey, we are sorry to hear about this. You can find all the pairing steps in our Support Center (https://support.n26.com/en-eu), by typing the term ""pairing"" in the search bar. Also, if you need assistance in the future, you can also send us a DM to our social media channels and we'd be glad to guide you accordingly. Best, Leon-Your N26 Support Team";14/06/2025 16:21;427;N26;['ok', 'need', 'customer', 'service', 'useless', 'old', 'phone', 'died', 'got', 'new', 'one', 'began', 'pairing', 'unpairing', 'thousand', 'codes', 'clear', 'instructions', 'help', 'customer', 'service', 'chat', 'managed', 'figure', 'finally'];ok until you need customer service useless my old phone died i got a new one and it began pairing unpairing a thousand of codes no clear instructions no help from customer service chat managed to figure it out myself finally;customer service;user_centricity
642;e6ee9888-4bb4-4211-8ff3-10fd13859c88;UPDATE: Klarna responded by saying that to access my loyalty cards, I need to migrate to Klarna and provide my phone number and email address. However, this is precisely the kind of information I am unwilling to share with a company I no longer trust, especially after they’ve held my information hostage. Since I no longer have the original cards, I’m unable to use them. I simply want an option to download my card numbers without being forced to create a new account.;1;1;2523145;25/06/2025 14:04;Hi there, to ensure the security of your Klarna account and to prevent the loss of your loyalty cards, you need to create an account using your phone number and email address. For the migration of Stocard to Klarna, this verification is a necessary step.;23/06/2025 15:05;2523145;Klarna;['update', 'klarna', 'responded', 'saying', 'access', 'loyalty', 'cards', 'need', 'migrate', 'klarna', 'provide', 'phone', 'number', 'email', 'address', 'however', 'precisely', 'kind', 'information', 'unwilling', 'share', 'company', 'longer', 'trust', 'especially', 'theyve', 'held', 'information', 'hostage', 'since', 'longer', 'original', 'cards', 'im', 'unable', 'use', 'simply', 'want', 'option', 'download', 'card', 'numbers', 'without', 'forced', 'create', 'new', 'account'];update klarna responded by saying that to access my loyalty cards i need to migrate to klarna and provide my phone number and email address however this is precisely the kind of information i am unwilling to share with a company i no longer trust especially after theyve held my information hostage since i no longer have the original cards im unable to use them i simply want an option to download my card numbers without being forced to create a new account;trust;ethos
4767;98145de0-0d29-482b-ab1c-62c458e11909;I have been looking gor an online bank for sometimes now. Most of them have complicated requirments. I think Bunq seems to be promising online banking app. I will use for a while to see what it will give.;3;1;2411;02/01/2024 16:55;Hey Oyekale ?? Thank you for your review. We’re always at work to deliver a banking experience that makes life easy. If you'd like to suggest any improvement to the app, please share it on our Together platform: together.bunq.com/t/ideas ?? Feel free to re-review, if you have any additional feedback after using the app ??;04/01/2024 09:56;2411;Bunq;['looking', 'gor', 'online', 'bank', 'sometimes', 'complicated', 'requirments', 'think', 'bunq', 'seems', 'promising', 'online', 'banking', 'app', 'use', 'see', 'give'];i have been looking gor an online bank for sometimes now most of them have complicated requirments i think bunq seems to be promising online banking app i will use for a while to see what it will give;simplicity;simplicity
501;e754bef1-0c06-47df-9370-7f0e7e03dc72;brilliant;5;0;2526250;01/07/2025 16:58;;;2526250;Klarna;['brilliant'];brilliant;satisfaction;user_centricity
4066;c4cdd5f3-2e12-4f56-8114-81d20b5d8059;it can't log me in because it says it doesn't support my region you should update your app and all region;1;4;2861;22/06/2025 08:28;Hey Mohammed ?? Thanks for your interest in bunq! We're currently available in most EEA countries. You can check if your country is on our list: https://together.bunq.com/d/1015. We're always expanding, so stay tuned ??;23/06/2025 09:23;2861;Bunq;['cant', 'log', 'says', 'doesnt', 'support', 'region', 'update', 'app', 'region'];it cant log me in because it says it doesnt support my region you should update your app and all region;global access;community
333;fdb1d83d-affe-4f6c-92bc-e7dd44e3ee07;This app is Soo slow to load.. way worse then stop card;1;0;2526251;07/07/2025 02:46;"Thank you for the review. We understand that no change comes without opposition and your negative feelings are warranted. We are closely monitoring the response to these changes to see what adjustments we can make to better meet the needs of our Stocard customers. We want to assure you your feedback has been heard. Please watch for future updates.
";07/07/2025 02:58;2526251;Klarna;['app', 'soo', 'slow', 'load', 'way', 'worse', 'stop', 'card'];this app is soo slow to load way worse then stop card;speed;quality
4684;c2a7b3e2-2c34-4c6d-8fe8-fd18729018a9;My account with bunq was hanging on a thread for sometime. Bad customer service, an app with a UI/UX so bad I don't even know where to start (seriously - you're a digital bank, the least you could do is make it usable). But now with their price increase on what are already extortionate fees, that was the nail on the coffin. Closing my account and switching to Revolut now that they finally have a Dutch IBAN.;1;0;24111;14/03/2024 18:42;Thank you for sharing your feedback. We always aim to offer the best support to our amazing users, and we are gutted when we don’t meet expectations. Please allow us to have another look at the reported situation by contacting us at support@bunq.com ?? We'll make sure to take all the relevant actions from our end to align with your expectations ??;14/03/2024 21:10;24111;Bunq;['account', 'bunq', 'hanging', 'thread', 'sometime', 'bad', 'customer', 'service', 'app', 'uiux', 'bad', 'dont', 'even', 'know', 'start', 'seriously', 'youre', 'digital', 'bank', 'least', 'could', 'make', 'usable', 'price', 'increase', 'already', 'extortionate', 'fees', 'nail', 'coffin', 'closing', 'account', 'switching', 'revolut', 'finally', 'dutch', 'iban'];my account with bunq was hanging on a thread for sometime bad customer service an app with a uiux so bad i dont even know where to start seriously  youre a digital bank the least you could do is make it usable but now with their price increase on what are already extortionate fees that was the nail on the coffin closing my account and switching to revolut now that they finally have a dutch iban;customer service;user_centricity
486;09ab2e12-fe98-4489-a6b4-3528454303a0;?? recommend ??;5;0;2526248;01/07/2025 21:41;;;2526248;Klarna;['recommend'];recommend;satisfaction;user_centricity
1962;d4f9ebe6-92ee-4fb4-b741-1d38e8c9204c;Over 40 fraudulent transactions drained the money out my account, asked the support to get help on recovering my stolen money but you won't get any help from n26, your money is not safe with this bank, I have to contact each one of the companies and online shopping websites where these 40 transactions went but obviously this is a slow and overwhelming process.;1;0;42;23/06/2024 17:12;Hey, we are sorry to hear that you had fraudulent transactions on your account. If you are unable to solve this with the merchant, please let us know. You can find more information about this topic in our Support Center: https://support.n26.com/en-eu/security/transaction-dispute/chargeback-card-transaction-dispute-faq. Best, Bella, N26 Team.;24/06/2024 11:44;42;N26;['40', 'fraudulent', 'transactions', 'drained', 'money', 'account', 'asked', 'support', 'get', 'help', 'recovering', 'stolen', 'money', 'wont', 'get', 'help', 'n26', 'money', 'safe', 'bank', 'contact', 'one', 'companies', 'online', 'shopping', 'websites', '40', 'transactions', 'went', 'obviously', 'slow', 'overwhelming', 'process'];over 40 fraudulent transactions drained the money out my account asked the support to get help on recovering my stolen money but you wont get any help from n26 your money is not safe with this bank i have to contact each one of the companies and online shopping websites where these 40 transactions went but obviously this is a slow and overwhelming process;safety;user_centricity
393;9fa651a1-7c8d-4192-a280-817df0e37295;Not working!!!!! I did the update and then it didn't want to open. I had to uninstall and reinstall. Now, I can't sign in!!! I've never had this happen. I'm annoyed.;3;0;2526251;04/07/2025 07:02;"Thanks for the review. We are sorry to hear that you are having issues with the App's performance. We suggest reinstalling the App and resetting your phone, clear cachee and cookies and test via incognito browser to determine if this issue persists. Otherwise try another device or on the online browser.
";04/07/2025 07:20;2526251;Klarna;['working', 'update', 'didnt', 'want', 'open', 'uninstall', 'reinstall', 'cant', 'sign', 'ive', 'never', 'happen', 'im', 'annoyed'];not working i did the update and then it didnt want to open i had to uninstall and reinstall now i cant sign in ive never had this happen im annoyed;reliability;quality
4842;4b2510f8-e6cc-4234-80a0-8e2d9f228730;Bank of the free *NOT* free. Bunq decided to switch me automatically without agreeing to any new terms and conditions to a very high fee (10€ approx per month). This is very fishy, and I am reporting it to the EU consumer rights & complaints.;1;0;;01/11/2023 09:16;Hey! Thank you for your review. Providing you with the best experience out there is our priority. We've always been transparent about our fees and prices, and you are welcome to check them out here: www.bunq.com/documents#pricing ?? In case of any doubts, feel free to contact us via: https://www.bunq.com/link/support. We'll be happy to help! ??;01/11/2023 10:01;;Bunq;['bank', 'free', 'free', 'bunq', 'decided', 'switch', 'automatically', 'without', 'agreeing', 'new', 'terms', 'conditions', 'high', 'fee', '10', 'approx', 'per', 'month', 'fishy', 'reporting', 'eu', 'consumer', 'rights', 'complaints'];bank of the free not free bunq decided to switch me automatically without agreeing to any new terms and conditions to a very high fee 10 approx per month this is very fishy and i am reporting it to the eu consumer rights  complaints;transparency;ethos
4866;eae22cf6-f705-45ad-a57f-713f7734dc45;The app is fine, I like it especially the way i can choose only my interests like bank account and credit card.i will use it;5;2;23131;21/10/2023 08:49;Hey Gizmo! Thanks for the positive feedback! We’re glad that we make life easy for you ??;23/10/2023 11:09;23131;Bunq;['app', 'fine', 'like', 'especially', 'way', 'choose', 'interests', 'like', 'bank', 'account', 'credit', 'cardi', 'use'];the app is fine i like it especially the way i can choose only my interests like bank account and credit cardi will use it;customization;user_centricity
1755;05cf3b9b-b0da-4690-b043-f3030c39d365;I had all of my money stolen out of my account. 56 transactions in Spain and Sweden and the bank never flagged one. I submit a fraud claim (hard as you can never talk to a human) and get a response back saying it isn't their fault, that Mastercard don't dispute digital transactions and that my case is closed. I have never authorized anything. This bank WILL NOT KEEP YOUR MONEY SAFE, and good luck if you think they will try and help you get it back. It is a total and utter scam.;1;4;48;27/09/2024 09:26;Hey Daisy, security is our top priority. We offer a variety of features to keep your money safe, including the option to block your card, enable or disable payments abroad, online transactions, and set spending limits. Feel free to contact us so we can check this for you. We're available on Twitter (X) or Instagram via @N26. Best, Bella, N26 Team.;24/09/2024 19:20;48;N26;['money', 'stolen', 'account', '56', 'transactions', 'spain', 'sweden', 'bank', 'never', 'flagged', 'one', 'submit', 'fraud', 'claim', 'hard', 'never', 'talk', 'human', 'get', 'response', 'back', 'saying', 'isnt', 'fault', 'mastercard', 'dont', 'dispute', 'digital', 'transactions', 'case', 'closed', 'never', 'authorized', 'anything', 'bank', 'keep', 'money', 'safe', 'good', 'luck', 'think', 'try', 'help', 'get', 'back', 'total', 'utter', 'scam'];i had all of my money stolen out of my account 56 transactions in spain and sweden and the bank never flagged one i submit a fraud claim hard as you can never talk to a human and get a response back saying it isnt their fault that mastercard dont dispute digital transactions and that my case is closed i have never authorized anything this bank will not keep your money safe and good luck if you think they will try and help you get it back it is a total and utter scam;safety;user_centricity
2515;4bd451f6-f79c-4410-9517-7a7888a68a9d;scammy an awful company. first of all, they will make you pay if you want to stop your premium trial and you order the card. second of all, they are blocking payments. so I couldn't get a 150 Euro discount because of their stupid security system that blocks payments to Samsung.;1;0;10882;21/07/2025 16:39;Hi. Early cancellation fees for premium trials are typically outlined in our plan terms, especially when a physical card has been ordered, as these often represent a tangible benefit. For payments, our security systems are designed to safeguard your account. Please reach out to our support team via in-app chat (Profile > Help > Chat with us);21/07/2025 17:21;10882;Revolut;['scammy', 'awful', 'company', 'first', 'make', 'pay', 'want', 'stop', 'premium', 'trial', 'order', 'card', 'second', 'blocking', 'payments', 'couldnt', 'get', '150', 'euro', 'discount', 'stupid', 'security', 'system', 'blocks', 'payments', 'samsung'];scammy an awful company first of all they will make you pay if you want to stop your premium trial and you order the card second of all they are blocking payments so i couldnt get a 150 euro discount because of their stupid security system that blocks payments to samsung;trust;ethos
3585;4aba572a-ea69-4e7c-8ee4-9e8ea069d90d;"??i tried various times to deposit with card payment, after i confirm the 3D secure, i get redirected to the app to input the login pin, but after i input it correctly the app freeze and have to close it and open again to make it work and still the deposit doesn't succeed.???? I got reply from support ""Activate the location data and make sure you are located in your country"" why I need to be located in my country to make a deposit with cards? I'm not allowed to travel anymore? this is absurd.";1;1;;15/01/2025 15:24;;;;TradeRepublic;['tried', 'various', 'times', 'deposit', 'card', 'payment', 'confirm', '3d', 'secure', 'get', 'redirected', 'app', 'input', 'login', 'pin', 'input', 'correctly', 'app', 'freeze', 'close', 'open', 'make', 'work', 'still', 'deposit', 'doesnt', 'succeed', 'got', 'reply', 'support', 'activate', 'location', 'data', 'make', 'sure', 'located', 'country', 'need', 'located', 'country', 'make', 'deposit', 'cards', 'im', 'allowed', 'travel', 'anymore', 'absurd'];i tried various times to deposit with card payment after i confirm the 3d secure i get redirected to the app to input the login pin but after i input it correctly the app freeze and have to close it and open again to make it work and still the deposit doesnt succeed i got reply from support activate the location data and make sure you are located in your country why i need to be located in my country to make a deposit with cards im not allowed to travel anymore this is absurd;convenience;quality
4315;4dc35b30-4449-43f1-99c1-b121d21509c3;I uploaded all documents and now it logged me out saying I'm on a waiting list. Never had anything like that happen;1;0;;13/12/2024 09:54;Hey! While we definitely want you to join us, there are certain reasons which could obstruct the opening of your account right away. You can learn more about the Waiting list here: https://together.bunq.com/d/48051 ?? In case of any doubts, please send us an e-mail at support@bunq.com so we can further check your account and help you right away ??;16/12/2024 14:16;;Bunq;['uploaded', 'documents', 'logged', 'saying', 'im', 'waiting', 'list', 'never', 'anything', 'like', 'happen'];i uploaded all documents and now it logged me out saying im on a waiting list never had anything like that happen;reliability;quality
4966;3669148e-b9ba-4e1f-a42b-0fdab9d9bbec;Sharing accounts doesn't seem to work well, UI is nice but there is definitely room for improvement. What annoys me is the spinning wheel 'game'. It implies you have a 13/14th chance of winning something, but that's not true as you always hit on the 1 no-win option. For a bank, which integrity and reliability should be first and foremost, this game is deceiving.;3;10;2303;26/07/2023 10:40;Hey! It's our goal to provide you with the best service out there, and we'd like to know how we can improve your experience ?? If there’s a particular incident you want us to look into, please contact us via: https://www.bunq.com/link/support or support@bunq.com ?? If you have any suggestions, please share them at: together.bunq.com/t/ideas ??;26/07/2023 12:19;2303;Bunq;['sharing', 'accounts', 'doesnt', 'seem', 'work', 'well', 'ui', 'nice', 'definitely', 'room', 'improvement', 'annoys', 'spinning', 'wheel', 'game', 'implies', '1314th', 'chance', 'winning', 'something', 'thats', 'true', 'always', 'hit', '1', 'nowin', 'option', 'bank', 'integrity', 'reliability', 'first', 'foremost', 'game', 'deceiving'];sharing accounts doesnt seem to work well ui is nice but there is definitely room for improvement what annoys me is the spinning wheel game it implies you have a 1314th chance of winning something but thats not true as you always hit on the 1 nowin option for a bank which integrity and reliability should be first and foremost this game is deceiving;integrity;ethos
2099;d19dc557-ce88-4cf9-b76e-14391d5efedf;very nice app I like to much really very fast transfer money. awesome ??;5;0;1089;26/07/2025 08:36;;;1089;Revolut;['nice', 'app', 'like', 'much', 'really', 'fast', 'transfer', 'money', 'awesome'];very nice app i like to much really very fast transfer money awesome;speed;quality
