brand,category,keyword,count
Trade Republic,user_centricity_support,care,22
Trade Republic,user_centricity_support,people,70
Trade Republic,user_centricity_support,enjoy,11
Bunq,user_centricity_support,service,276
Bunq,user_centricity_support,support,450
Bunq,user_centricity_support,experience,186
Bunq,user_centricity_support,enjoy,7
Bunq,user_centricity_support,people,89
Bunq,user_centricity_support,care,40
Bunq,user_centricity_support,clarity,2
Klarna,community_belonging,abroad,1
Klarna,community_belonging,community,2
Klarna,community_belonging,social,2
Klarna,community_belonging,global,3
Klarna,community_belonging,sharing,3
Klarna,community_belonging,worldwide,1
N26,community_belonging,social,27
N26,community_belonging,sharing,4
N26,community_belonging,abroad,46
N26,community_belonging,global,4
N26,community_belonging,community,2
N26,community_belonging,worldwide,3
Revolut,community_belonging,abroad,137
Revolut,community_belonging,social,7
Revolut,community_belonging,sharing,6
Revolut,community_belonging,community,2
Revolut,community_belonging,worldwide,13
Revolut,community_belonging,global,5
Trade Republic,community_belonging,global,4
Trade Republic,community_belonging,social,3
Trade Republic,community_belonging,abroad,1
Trade Republic,community_belonging,community,5
Trade Republic,community_belonging,sharing,1
Bunq,community_belonging,global,1
Bunq,community_belonging,social,35
Bunq,community_belonging,community,19
Bunq,community_belonging,sharing,3
Bunq,community_belonging,worldwide,3
Bunq,community_belonging,abroad,4
Klarna,growth_ambition,free,61
Klarna,growth_ambition,earn,4
Klarna,growth_ambition,future,18
Klarna,growth_ambition,progress,7
Klarna,growth_ambition,opportunity,32
Klarna,growth_ambition,development,4
Klarna,growth_ambition,growth,1
N26,growth_ambition,free,227
N26,growth_ambition,future,64
N26,growth_ambition,opportunity,9
N26,growth_ambition,progress,12
N26,growth_ambition,development,6
N26,growth_ambition,vision,4
N26,growth_ambition,earn,3
N26,growth_ambition,growth,1
Revolut,growth_ambition,expansion,2
Revolut,growth_ambition,future,26
Revolut,growth_ambition,free,107
Revolut,growth_ambition,development,4
Revolut,growth_ambition,progress,4
Revolut,growth_ambition,earn,9
Revolut,growth_ambition,opportunity,6
Revolut,growth_ambition,vision,1
Revolut,growth_ambition,growth,1
Trade Republic,growth_ambition,progress,4
Trade Republic,growth_ambition,free,54
Trade Republic,growth_ambition,future,11
Trade Republic,growth_ambition,development,6
Trade Republic,growth_ambition,opportunity,4
Trade Republic,growth_ambition,growth,3
Trade Republic,growth_ambition,earn,1
Bunq,growth_ambition,free,258
Bunq,growth_ambition,future,25
Bunq,growth_ambition,progress,6
Bunq,growth_ambition,earn,3
Bunq,growth_ambition,opportunity,4
Bunq,growth_ambition,development,3
Bunq,growth_ambition,vision,2
Bunq,growth_ambition,expansion,1
